cl,rt,wm,eq
394.5479,340.6036,1.5212935,39.220715
386.34042,278.84058,1.9814947,39.19512
437.21225,520.28296,1.4336425,39.44614
346.49445,392.56418,17.386406,32.10877
378.06738,586.4651,20.535595,42.982193
375.39874,580.9881,20.924358,42.72711
384.62384,275.13992,6.8540263,39.96346
389.38745,294.41904,2.319088,38.969803
311.8351,201.00078,15.274317,38.394485
351.07483,382.90723,17.685184,32.22653
377.93884,652.02606,10.606872,44.935867
400.97614,337.86728,1.4757425,38.851765
381.08722,451.88498,18.392235,43.221367
348.61722,377.92465,17.88891,32.34335
347.23517,391.47574,17.802662,32.192223
390.45947,304.3353,2.4983487,39.058052
375.11844,486.1121,20.623806,39.1337
420.03516,426.39017,0.5161649,39.156742
342.76047,415.35208,17.457056,33.088337
381.93448,234.19308,11.261297,41.94191
377.17938,434.77112,19.594872,36.004093
383.00482,288.2947,4.938388,38.893982
329.4464,377.30112,17.028486,31.95391
348.51443,383.4403,17.707607,32.11959
376.91486,305.11572,15.792543,41.862064
366.83725,515.22504,20.083588,42.555614
407.2957,381.1229,2.0923476,39.085117
392.8265,556.01074,17.15686,44.955105
382.7875,274.01578,2.8423297,39.05317
422.96545,456.77954,2.160162,39.472996
397.83936,327.2568,0.9690231,39.28649
331.9682,355.74612,17.311249,36.146603
338.98102,379.1584,17.57061,32.208
388.55164,282.7773,9.541579,40.95582
364.76663,411.21808,19.05672,35.521328
377.92197,617.79565,19.103022,42.94033
350.61093,381.7361,17.61258,32.307724
333.0129,375.9424,17.021992,32.18411
409.44684,384.80017,0.80892444,39.37366
339.30933,391.89844,17.607298,32.09675
387.78043,313.3713,4.0571632,38.85805
399.06726,351.3599,2.9359972,39.125904
354.5025,475.35168,16.362305,35.076218
376.99234,467.3702,18.96657,36.287075
391.10208,574.41473,13.562908,45.010296
418.84964,434.186,0.37475646,39.778717
342.24808,384.1626,17.726604,32.25442
391.50528,285.4259,11.691282,42.013016
390.0357,530.9836,11.378659,44.576233
397.14087,764.2402,9.065068,45.108532
339.28195,402.6506,18.67273,37.871033
388.0476,667.98883,9.1991005,44.870525
384.75278,487.08838,8.17547,43.553757
357.31564,205.72261,15.050344,41.041252
385.0108,262.787,7.10557,40.178394
388.6939,271.4241,11.920792,42.155956
354.70505,368.8756,17.554,32.826675
365.74646,677.67535,11.835754,42.967648
384.24942,267.39362,9.242038,40.75209
358.05283,386.73315,18.322414,35.69095
370.16827,359.94327,16.899565,41.9495
373.51,419.4699,19.336315,35.310703
362.99075,408.0627,18.8476,35.9919
374.28024,663.8302,10.839072,43.944427
380.32587,258.99652,3.1408749,38.841293
390.46515,271.50082,8.611633,40.810635
387.94952,285.4599,2.5618782,39.345516
350.18805,379.11804,17.68096,32.29077
421.13724,431.34802,1.013332,39.392326
360.34637,636.9832,11.878763,41.72642
385.8221,624.2891,17.343979,44.86895
382.91098,637.0059,17.395344,44.51627
318.8264,392.54675,16.36959,31.439432
378.5647,481.1188,20.442902,38.292374
349.79138,263.555,16.283072,40.781895
400.83377,570.97504,6.4601574,43.680286
390.4242,310.55798,8.800912,41.63392
340.2827,250.34555,15.914621,39.914642
360.18082,460.41998,19.805454,38.574768
406.83142,679.46387,6.720099,45.65594
382.40933,277.954,6.6057196,40.314156
363.0555,645.95557,11.356791,39.803905
401.51807,632.2931,8.239402,44.854485
340.84332,391.45892,17.58603,32.006184
385.03406,303.5514,4.2660723,38.826572
391.25665,340.8199,4.466253,38.85997
415.53415,416.78305,1.568498,38.860928
392.30948,314.10077,3.0526602,38.78068
381.5944,255.88759,6.2208076,40.00868
374.76373,567.43176,20.689884,41.131104
391.103,446.2223,10.247641,43.70141
381.68204,268.13022,3.2611156,39.077316
390.19608,640.343,16.30376,45.637444
380.05316,253.7143,4.7319765,39.5654
384.14862,296.22238,4.1134233,38.659187
341.96243,368.1279,18.088085,40.308315
387.80463,310.7177,14.204121,42.14628
384.8568,254.86557,5.5136514,39.99188
375.54547,533.87854,19.336002,43.213257
343.97305,407.32993,17.609098,32.093056
377.79617,229.85524,14.149197,42.084984
385.23773,651.46277,14.599179,45.75868
306.35715,299.6139,16.133492,36.090588
363.9701,510.42935,20.743908,40.24465
375.88324,424.1831,19.475998,35.646122
374.36377,645.34015,12.258687,44.76827
341.2415,398.4825,17.481024,31.983025
370.2084,603.4791,15.061035,39.976543
380.78702,626.6209,18.722622,44.77287
348.76782,385.31763,18.092573,32.49047
313.84875,188.1987,15.151279,38.28337
357.28168,655.64355,10.659874,39.91515
382.5582,244.69547,5.5060434,39.766174
324.3224,391.99512,16.673126,31.406456
332.30026,375.47766,16.017046,32.26742
387.1026,515.95526,20.943836,39.753475
368.03177,646.54565,14.004836,42.022717
394.38562,556.6411,16.687843,44.915257
390.4137,320.8708,3.9203444,38.97223
366.96896,567.23865,15.447147,38.06773
379.413,258.92255,3.8071952,39.226917
399.7968,340.2392,1.9833341,38.93685
382.32278,596.8605,19.232595,40.862015
390.275,294.9381,1.41509,39.15235
384.97333,259.6224,9.10885,41.05942
380.12167,585.4887,20.855564,43.83114
423.07593,475.83295,3.6124601,39.54634
387.5266,524.9036,20.672848,39.208405
358.89325,451.6955,19.595625,41.6408
381.17624,248.61899,13.250327,42.155525
406.77017,386.62735,2.7809615,38.72127
345.08426,387.32034,17.71451,32.24664
382.91907,558.0051,20.892134,40.93473
324.9828,421.51508,17.033052,31.339378
344.07532,401.84113,17.77293,32.019814
386.23868,288.39862,11.208628,41.61992
387.75592,636.1878,14.933128,45.629223
394.7107,420.88138,16.54949,43.603474
367.7605,571.5985,14.448368,38.288563
347.2134,404.26434,17.977285,32.144592
378.4108,622.478,19.31965,43.884514
407.08817,402.81366,0.4250872,39.307034
372.62726,627.772,16.033401,41.568638
378.22177,610.81104,18.873852,41.706383
386.14908,614.5995,9.82114,45.107826
374.9665,633.9432,11.364385,44.42907
345.2834,397.14255,18.114815,32.306885
345.21683,396.8955,17.843935,32.12458
352.38046,374.3245,18.085516,32.619823
347.9704,369.51587,17.637154,32.566074
358.93817,602.6062,12.554518,38.595924
417.72937,444.0165,-0.2738011,39.642986
384.39133,370.47592,4.7392955,40.933304
337.3496,395.20627,17.801645,32.053852
331.76172,375.2709,17.180708,31.790434
330.41653,386.30566,16.993017,31.628141
337.67834,387.87274,17.441347,32.076237
402.24048,338.23462,1.1502182,39.01032
346.73926,402.63388,17.896404,32.003426
363.2162,511.08087,20.9167,41.337357
339.02072,405.91092,17.532803,31.772272
353.51767,440.20358,19.511593,38.305202
359.60678,392.42764,18.500572,33.514008
379.89514,254.29803,3.6197338,39.08135
384.76688,288.3471,2.12317,39.116985
390.3284,529.7166,10.9921055,44.620926
367.29306,645.08325,12.804766,41.432793
352.30133,378.87152,17.602692,33.483334
390.67123,312.94577,2.7728038,38.684715
386.2075,302.0497,4.561759,39.018394
373.74097,547.8712,16.249413,37.854073
370.01584,648.4684,13.199434,43.627346
396.27628,333.38406,12.770152,42.579914
387.29218,497.12015,20.86588,38.996803
400.23563,487.83807,4.4491153,42.322884
338.23468,392.59814,17.173254,31.852175
397.97308,335.50122,2.4481506,38.855297
381.52277,457.31433,20.345049,37.6015
348.2867,384.86627,17.864521,32.397194
378.03894,277.1981,14.528717,41.892784
386.74713,295.3141,1.8674827,39.285797
373.0306,489.27673,20.57154,39.198357
372.32538,272.27014,15.218,41.565918
376.89087,562.67194,20.765484,41.608593
375.61227,668.819,10.40242,43.896717
319.4983,408.24326,16.613295,31.152052
346.5673,379.73868,17.749249,32.520763
379.20444,628.6839,16.987701,41.306087
354.87415,385.34003,17.878292,33.170124
389.4215,298.44012,2.4977798,38.779045
345.11447,393.20364,17.7518,32.2976
380.36188,255.57378,14.193072,42.261047
349.11215,369.26627,17.750687,32.364193
392.3295,497.7919,12.312862,44.647755
343.47537,370.11255,16.928139,32.10323
338.36502,436.74405,16.039618,33.57094
332.91208,394.41544,17.411804,31.90883
398.1001,351.96933,3.6461701,38.841457
383.73502,304.29337,4.8701553,39.043903
306.97333,92.22323,14.542229,39.849808
391.84857,529.5498,17.232943,44.36287
356.76755,471.8884,20.329668,39.251335
387.38882,547.6558,9.271077,43.975983
332.18088,430.0597,17.190722,31.531101
330.7003,371.944,16.928944,32.11578
376.41095,644.09644,17.474548,43.56416
383.9255,250.03693,11.251604,41.718513
358.6719,458.27615,19.123106,42.2917
394.76755,625.2153,8.718742,45.289646
391.77695,299.1357,2.6146493,39.165707
383.84763,654.7713,15.884722,45.41443
388.84454,506.00717,20.367682,38.451675
353.8282,371.2174,17.294514,33.33786
325.35858,404.31064,16.866257,31.437445
385.6256,291.83517,3.703093,38.834698
374.1426,652.61053,16.079933,43.295425
390.11368,552.7025,15.922535,44.561996
401.0994,702.0852,7.1389556,45.216236
388.51215,501.3608,20.81895,38.283436
357.2861,454.58014,20.045017,41.39833
382.4003,271.52863,14.166598,42.24451
410.56445,435.26077,-0.19944489,39.93964
386.8011,263.98917,13.762306,42.266426
381.08197,507.98773,20.869009,39.67585
388.75903,377.7205,8.9029045,42.45778
330.509,351.9667,15.531347,32.901283
334.84402,429.91476,15.882684,33.55207
380.21454,295.66992,5.103405,38.73833
384.1141,433.39838,7.1120124,42.244965
324.3558,381.67465,16.811163,31.545658
380.69397,579.0245,17.410751,39.571434
402.7295,355.40964,0.99419594,39.132374
340.74658,411.45755,17.976437,32.181927
396.53635,311.8634,1.5290129,39.052006
377.67935,254.26622,3.571536,38.856
385.24435,286.62918,2.220829,39.23689
392.66064,481.82492,11.368084,44.202545
387.7008,493.7125,9.606939,44.023167
350.20465,374.01724,17.83438,32.591747
385.28964,258.2392,9.190606,41.091434
347.1137,385.3244,17.901001,32.37444
374.80145,652.5991,13.299117,44.77819
368.8714,409.31595,18.964825,35.188686
369.24902,257.8192,15.21584,41.412872
378.56155,249.73163,8.316507,40.560596
378.5676,476.179,20.533056,37.814144
333.4846,399.19504,17.34378,31.738178
392.67365,313.81088,2.0513692,38.68616
309.6859,346.99615,17.264214,37.723545
365.54895,403.67136,18.755789,34.360485
374.94446,586.02435,20.424889,42.84212
380.8268,280.0629,6.220989,39.653088
347.75687,385.18707,18.044502,32.834953
360.0074,666.7372,10.828711,39.981415
371.64243,667.1722,11.231284,43.693184
358.454,385.12054,18.005373,33.451633
376.27112,266.35568,7.5238204,39.903324
379.94382,255.31177,7.5999045,40.140972
376.3592,484.32608,20.75233,38.087826
394.98413,412.35147,11.780949,43.391644
387.31445,293.82388,3.0725245,38.8878
332.16882,291.95425,16.564152,39.402958
344.33093,382.85754,17.854998,32.5488
374.70404,222.83026,14.83659,42.590813
393.52966,350.9659,4.5536423,38.78827
381.2884,471.89944,20.514715,38.478165
380.10764,228.13823,13.402013,42.651894
340.1469,397.81955,17.062122,32.87934
390.21292,267.45053,14.379318,42.78843
397.39594,325.72784,2.440519,39.10665
385.76962,567.13947,9.655031,44.81848
314.63837,403.02542,15.121328,32.31564
330.79507,353.8737,15.664099,32.434353
338.08923,382.88577,17.453747,31.984907
348.30002,376.30328,18.02952,32.44867
358.5198,475.06534,19.967203,41.608353
367.33224,665.7299,11.616798,43.16251
382.77402,266.77512,3.1850193,39.12166
394.06863,591.10126,14.713035,45.510376
386.26114,607.60596,10.174159,45.37957
387.1346,513.8285,20.992332,39.72437
393.6157,274.89246,12.76313,42.429615
337.25558,407.48627,17.367386,31.645699
360.02625,284.0063,16.28754,40.845837
343.59204,405.46304,16.89787,31.984901
367.35852,510.81467,20.183212,42.63166
347.70508,533.13715,12.7348995,36.52178
334.74417,377.229,17.076025,31.972256
359.6679,453.2963,19.30047,42.13711
348.5754,370.07205,17.149506,32.74474
391.52792,307.86624,1.9378376,38.87641
347.38577,403.94714,18.025743,32.27684
384.24838,489.47946,20.030434,38.701138
339.96506,393.42114,18.265993,37.27059
344.14203,409.7086,18.19376,32.118683
337.8538,391.36255,17.294538,31.994034
383.43893,280.75653,2.976097,39.22103
338.5281,391.82547,17.268082,31.807016
367.8642,539.7473,16.54692,37.214397
404.75024,665.6596,6.694563,45.143665
402.60205,341.14484,1.1450422,39.02631
423.45868,463.02454,2.5069902,39.179466
383.85687,386.9443,5.6226583,41.91313
404.84506,357.80478,1.5527385,38.954803
397.76367,611.84973,8.180805,45.29041
371.95627,412.38403,19.071806,35.045002
380.54242,215.52342,12.096682,42.476074
379.87375,618.2227,18.263744,41.889736
381.32007,269.60742,3.1523356,38.81768
383.76132,262.3588,8.716043,40.888565
389.658,327.79825,4.3316135,38.69487
364.03604,671.97205,11.673312,41.31335
388.79645,307.6247,4.059102,39.067596
378.56674,683.3996,10.974606,44.347454
